,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
54,FLAT A 5/F TAK TAI COURT  ,28,9/11/2020,5.1,362,557,14088,9156,1802,36
55,FLAT D 19/F BLOCK 2 HIBISCUS PARK ,22,9/11/2020,6.48,432,567,15000,11429,-,
56,FLAT H 5/F WAI YIN BUILDING  ,47,9/11/2020,3.88,354,-,10960,-,1348,39
57,FLAT 7 17/F HING KOK HOUSE (BLOCK 1) KWAI HING ESTATE ,29,6/11/2020,1.85,267,-,6929,-,-,
58,FLAT A2 3/F BLOCK A HUTCHISON ESTATE ,44,6/11/2020,4.56,498,650,9157,7015,-,
59,FLAT E 19/F EDITION 178  ,2,6/11/2020,4.9,225,-,21778,-,1156,38
60,FLAT 6 30/F KWAI MING HOUSE (BLOCK A) KWAI HONG COURT ,27,5/11/2020,5.35,578,691,9256,7742,-,
61,FLAT 6 29/F CHING FUNG HOUSE (BLOCK A) NING FUNG COURT ,19,4/11/2020,6.65,650,855,10231,7778,-,
62,FLAT A 11/F TOWER 2 THE APEX ,13,4/11/2020,7.64,566,811,13495,9418,4952,158
63,FLAT E 17/F KWAI LOONG BUILDING  ,47,4/11/2020,4.08,378,-,10794,-,3972,289
64,FLAT K 46/F TOWER 2 THE APEX ,13,3/11/2020,9.76,662,920,14743,10609,3480,109
65,FLAT E 16/F BLOCK 2 HORIZON PLACE ,18,3/11/2020,5.79,403,588,14362,9844,4690,236
66,FLAT C 22/F WEALTHY GARDEN  ,46,3/11/2020,7.59,-,-,-,-,-,-
67,FLAT C 21/F MAN SHING BUILDING (MANSION)  ,45,3/11/2020,4.67,440,-,10614,-,1517,42
68,FLAT G 8/F TOWER 2 THE APEX ,13,2/11/2020,6.58,470,657,14000,10015,4285,229
69,FLAT A 19/F HOI CHEONG BUILDING  ,44,2/11/2020,3.5,329,450,10638,7778,2296,62
70,FLAT B4 3/F BLOCK B HUTCHISON ESTATE ,44,29/10/2020,3.7,388,-,9536,-,-,
71,FLAT D 17/F KAM SHEK BUILDING  ,47,29/10/2020,4,407,500,9828,8000,7160,483
72,FLAT D 28/F BLOCK 2 KWAI FONG TERRACE ,36,28/10/2020,5.67,397,486,14282,11667,4203,283
73,FLAT 8 35/F LONG FUNG HOUSE (BLOCK B) NING FUNG COURT ,19,28/10/2020,5.38,506,665,10632,8090,-,
74,FLAT E 27/F BLOCK 2 KWAI CHUNG PLAZA ,30,28/10/2020,6,318,437,18868,13730,2801,77
75,FLAT D 22/F WEALTHY GARDEN  ,46,27/10/2020,7.34,-,-,-,-,-,-
76,FLAT 2 6/F BLOCK C SUN KWAI HING GARDENS ,37,27/10/2020,7.58,570,703,13298,10782,2212,49
77,FLAT 8 9/F TOWER A KWAI SING CENTRE ,39,27/10/2020,4.6,369,451,12466,10200,2342,77
78,FLAT 2 27/F BLOCK C SUN KWAI HING GARDENS ,37,27/10/2020,7.95,570,703,13947,11309,7707,430
79,FLAT 6 3/F TOWER B KWAI SING CENTRE ,39,23/10/2020,5,383,466,13055,10730,1432,37
80,FLAT D 2/F KAM HENG BUILDING  ,46,23/10/2020,3.55,406,-,8739,-,1205,9
81,FLAT D 13/F HIP TAK BUILDING  ,44,23/10/2020,5.36,499,620,10741,8645,4200,333
82,FLAT B3 7/F BLOCK B HUTCHISON ESTATE ,44,23/10/2020,3.93,388,-,10129,-,3839,248
83,FLAT H 8/F TOWER 1 THE APEX ,13,23/10/2020,6,474,665,12658,9023,2249,41
84,FLAT I 19/F TAK TAI BUILDING  ,49,23/10/2020,4.44,375,-,11835,-,-,
85,FLAT D 5/F KWAI FOOK BUILDING  ,45,22/10/2020,4.7,389,-,12082,-,1110,18
86,FLAT A 2/F KWAI FOOK BUILDING  ,45,22/10/2020,3.75,347,465,10807,8065,3679,110
87,FLAT E 36/F BLOCK 1 HORIZON PLACE ,18,22/10/2020,6.05,403,588,15012,10289,3058,95
88,FLAT A 3/F WAI YIN BUILDING   (with flat roof),47,21/10/2020,4.1,379,-,10818,-,1310,41
89,FLAT N 9/F TAK CHEONG BUILDING  ,46,21/10/2020,4.33,434,-,9977,-,3376,141
90,FLAT A 23/F BLOCK 2 HORIZON PLACE ,18,20/10/2020,6.55,410,608,15976,10773,4465,179
91,FLAT J 23/F KWAI CHUNG BUILDING   (with roof),46,19/10/2020,3.85,396,-,9722,-,1957,28
92,FLAT 6 24/F BLOCK B SUN KWAI HING GARDENS ,37,19/10/2020,8,570,703,14035,11380,-,
93,FLAT C 12/F BLOCK 2 KWAI FONG TERRACE ,36,19/10/2020,6.12,473,590,12939,10373,5058,353
94,FLAT E 9/F VICTORY COURT  ,47,19/10/2020,3,280,360,10714,8333,-,
95,FLAT 10 13/F KWAI YEE HOUSE (BLOCK A) KWAI YIN COURT ,27,16/10/2020,3.9,401,514,9726,7588,-,
96,FLAT F 11/F BLOCK 1 KWAI CHUNG PLAZA ,30,16/10/2020,7.3,493,666,14807,10961,-,
97,FLAT 5 4/F LONG FUNG HOUSE (BLOCK B) NING FUNG COURT ,19,16/10/2020,6.3,650,855,9692,7368,-,
98,FLAT B 9/F KAR PO MANSION  ,46,16/10/2020,3.98,454,516,8767,7713,8595,158
99,FLAT 10 15/F KWAI CHEONG HOUSE (BLOCK A) KWAI CHUN COURT ,25,15/10/2020,4,401,514,9975,7782,-,
