,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
3882,FLAT 10 2/F BLOCK 1 PHASE 1 MEI KING MANSION,56,15/5/2018,3.6,357,-,10084,-,3073,227
3883,NO. 31 6/F EIVER HOUSE  ,62,15/5/2018,5.22,628,-,8314,-,7010,422
3884,NO. 32 7/F 32 NGAN HON STREET  ,60,15/5/2018,2.37,260,-,9100,-,8288,426
3885,FLAT B 43/F BAYVIEW  ,8,15/5/2018,13,602,-,21595,-,1745,21
3886,NO. 49 3/F 49 HUNG FOOK STREET  ,63,15/5/2018,4.86,610,-,7966,-,-,
3887,NO. 112 (FLAT D) 10/F WAN TIN BUILDING  ,56,14/5/2018,4.8,453,-,10596,-,-,
3888,FLAT 4 8/F HUNG YING HOUSE  ,42,14/5/2018,5.5,390,-,14103,-,1183,47
3889,NO. 101 (FLAT C) 2/F 99-101 WUHU STREET  ,54,14/5/2018,4,435,-,9195,-,2358,116
3890,FLAT H 38/F BLOCK 1 SKY TOWER ,16,14/5/2018,8.38,479,639,17495,13114,1928,44
3891,FLAT C 29/F AXIS   (with roof),3,14/5/2018,6.51,246,-,26459,-,-,-
3892,FLAT H 60/F TOWER 1 GRAND WATERFRONT ,14,14/5/2018,7.18,367,504,19564,14246,2126,73
3893,FLAT H 7/F TOWER 5 GRAND WATERFRONT ,14,11/5/2018,6,360,500,16667,12000,3999,175
3894,FLAT G 5/F YUEN SHING BUILDING  ,54,11/5/2018,3.58,299,-,11973,-,4236,477
3895,FLAT 6 14/F BLOCK B WEI CHIEN COURT WYLER GARDENS,41,11/5/2018,8.5,535,638,15888,13323,-,
3896,NO. 9 4/F 9 LUK MING STREET  ,60,11/5/2018,4.1,476,-,8613,-,-,
3897,FLAT N 7/F CHEONG LOK MANSION  ,54,11/5/2018,3.4,336,-,10119,-,-,
3898,NO. 31 5/F EIVER HOUSE  ,62,11/5/2018,5.25,628,-,8352,-,-,
3899,FLAT D 14/F YUEN SHING BUILDING  ,54,11/5/2018,4.63,424,-,10920,-,7127,479
3900,FLAT 12 14/F BLOCK C I-FENG MANSIONS ,48,10/5/2018,2.86,246,362,11626,7901,3342,276
3901,FLAT B 2/F LUCKY BUILDING (HOUSE)  ,55,10/5/2018,3.68,280,-,13143,-,1118,36
