,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
1422,FLAT F 22/F YEE KING BUILDING  ,43,12/7/2019,6.55,390,457,16795,14333,3668,208
1423,FLAT C 9/F EVERWELL GARDEN  ,48,11/7/2019,29,1625,1813,17846,15996,8135,115
1424,FLAT C 20/F CHUEN FAT BUILDING  ,42,10/7/2019,5.68,366,480,15519,11833,-,
1425,FLAT C 26/F TOWER 2 PARC PALAIS ,16,10/7/2019,42,1343,1762,31273,23837,5461,218
1426,FLAT A (NO. 240A) 7/F GALLANT COURT  ,56,9/7/2019,23.5,1722,-,13647,-,-,
1427,FLAT A 10/F PEACE MANSION  ,29,9/7/2019,6.6,429,642,15385,10280,8061,81
1428,FLAT 3 18/F BLOCK D FAIR WAY GARDEN ,36,8/7/2019,4.9,260,413,18846,11864,2211,46
1429,FLAT A 6/F TOWER 10 MANTIN HEIGHTS ,3,8/7/2019,34.66,943,-,36755,-,-,-
1430,FLAT 2 14/F KWUN HEI COURT  ,20,5/7/2019,4.9,426,573,11502,8551,-,
1431,FLAT C 14/F SUNLIGHT GARDEN  ,56,5/7/2019,22.4,1507,-,14864,-,1689,21
1432,FLAT F 4/F THE COLONNADES  ,31,5/7/2019,12.5,679,830,18409,15060,8245,184
1433,FLAT 2 3/F KWUN HEI COURT  ,20,4/7/2019,4.99,426,573,11714,8709,-,
1434,FLAT C 9/F BLOCK B3 PERTH APARTMENTS ,46,4/7/2019,26.83,1356,1695,19786,15829,6799,321
1435,FLAT B 11/F TOWER 1 THE ASTORIA ,29,4/7/2019,34.5,1765,-,19547,-,7995,8
1436,FLAT A 26/F PEACE GARDEN  ,26,4/7/2019,7.01,379,565,18496,12407,3720,234
1437,FLAT C 25/F PEACE TOWER  ,22,4/7/2019,6,311,456,19293,13158,8192,72
1438,FLAT A 6/F PRINCE EDWARD TOWERS  ,47,4/7/2019,18,1018,-,17682,-,7499,414
1439,FLAT E 4/F BLOCK 3 CASCADES ,22,4/7/2019,7,490,616,14286,11364,-,
1440,FLAT C (NO. 326) 8/F PAK LOK BUILDING  ,56,3/7/2019,7.2,763,1100,9436,6545,4208,174
1441,FLAT 4 15/F MAN HEI HOUSE (BLOCK H) CHUN MAN COURT ,39,2/7/2019,7.5,519,623,14451,12039,-,
1442,FLAT E 18/F FU TAO BUILDING  ,41,2/7/2019,6.68,441,536,15147,12463,1449,22
1443,FLAT B 16/F BLOCK D WYLIE COURT ,35,28/6/2019,25.65,1383,1614,18547,15892,-,
1444,NO. 117 2/F KADOORIA  ,4,27/6/2019,75,1820,-,41209,-,-,-
1445,FLAT A 8/F YEE FU BUILDING  ,35,26/6/2019,4.4,246,359,17886,12256,5171,610
1446,FLAT A 16/F SUNFIELD COURT  ,42,26/6/2019,10.68,643,778,16610,13728,3286,146
1447,FLAT A 7/F VALIANT COURT  ,41,26/6/2019,5.25,307,381,17101,13780,2983,110
1448,FLAT B 10/F TOWER 6 MANTIN HEIGHTS ,3,26/6/2019,52.29,1477,-,35404,-,-,-
1449,FLAT A 28/F SEVEN VICTORY AVENUE  ,2,25/6/2019,11.09,389,-,28516,-,-,-
1450,FLAT A1 5/F TIMBER HOUSE  ,0,25/6/2019,13.23,-,-,-,-,-,-
1451,FLAT C 5/F TOWER 3 THE REGALIA ,25,24/6/2019,22.28,1059,1323,21039,16841,2377,55
1452,NO. 1A 1/F PENTLAND COURT  ,59,24/6/2019,15.5,1141,-,13585,-,-,
1453,FLAT B 20/F TOWER 1 THE REGALIA ,25,24/6/2019,18.85,1035,1295,18213,14556,7659,87
1454,FLAT D 3/F GALLANT GARDEN MANSION  ,49,24/6/2019,13.28,790,-,16810,-,-,
1455,FLAT G 14/F EVERWELL GARDEN  ,48,21/6/2019,22.38,1528,1688,14647,13258,2742,75
1456,FLAT A1 6/F TIMBER HOUSE  ,0,21/6/2019,13.73,-,-,-,-,-,-
1457,FLAT 2 9/F MAN HOR HOUSE (BLOCK D) CHUN MAN COURT ,39,21/6/2019,6,485,582,12371,10309,-,
1458,FLAT B 8/F TOWER 1 PARC REGAL ,25,20/6/2019,16,795,1000,20126,16000,1852,41
1459,FLAT A 12/F TOWER 9 MANTIN HEIGHTS ,3,20/6/2019,32,960,-,33333,-,-,-
1460,FLAT C 8/F WEI KING BUILDING  ,45,20/6/2019,5,340,-,14706,-,-,
1461,FLAT D 5/F SPRINGVALE  ,57,18/6/2019,17.5,1281,-,13661,-,-,
1462,FLAT E 6/F YEE KING BUILDING  ,43,18/6/2019,5.5,390,457,14103,12035,309,10
1463,FLAT A 10/F PINE MANOR  ,41,18/6/2019,11.38,720,-,15806,-,-,
1464,FLAT A 9/F TOWER 6 PHASE 1 ULTIMA,5,18/6/2019,98,1911,-,51282,-,-,-
1465,FLAT 6 11/F BLOCK C FAIR WAY GARDEN ,36,17/6/2019,5.88,290,382,20276,15393,7427,331
1466,FLAT 6 9/F MAN FUK HOUSE (BLOCK A) CHUN MAN COURT ,40,17/6/2019,7.9,596,715,13255,11049,-,
1467,FLAT B 2/F BLUE HAVEN  ,45,17/6/2019,12,667,-,17991,-,5160,253
