,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
380,FLAT H 22/F BLOCK 4 JUBILEE GARDEN ,35,8/10/2020,6.6,506,644,13043,10248,2338,63
381,FLAT D 9/F BLOCK 3 WAI WAH CENTRE ,34,8/10/2020,5.43,308,417,17630,13022,3603,147
382,FLAT A 30/F BLOCK 8 CASTELLO ,21,8/10/2020,8.7,547,718,15905,12117,7893,200
383,FLAT H 25/F BLOCK 37 SITE 4 CITY ONE SHATIN,35,8/10/2020,5.29,304,410,17401,12902,2714,70
384,FLAT C 13/F YU LAM COURT (BLOCK A2) LUCKY PLAZA ,37,8/10/2020,5.95,443,567,13431,10494,-,
385,FLAT D 12/F HOOVER HEIGHTS (BLOCK H) BELAIR GARDENS ,38,8/10/2020,8.2,670,925,12239,8865,4872,210
386,FLAT D 19/F BLOCK 4 JUBILEE GARDEN ,35,8/10/2020,7.15,506,644,14130,11102,3137,113
387,FLAT A 12/F TONG NING BUILDING (BLOCK D) SHATIN CENTRE ,39,8/10/2020,6.3,390,487,16154,12936,3757,250
388,FLAT B 13/F BLOCK 2 RAVANA GARDEN ,32,8/10/2020,8.26,544,659,15184,12534,7843,220
389,FLAT C 30/F BLOCK 3 JUBILEE GARDEN ,34,7/10/2020,7.45,510,653,14608,11409,1920,27
390,FLAT E 6/F BLOCK 48 SITE 5 CITY ONE SHATIN,34,7/10/2020,4.63,284,395,16303,11722,4579,184
391,FLAT E 24/F JADE HEIGHTS (BLOCK J) BELAIR GARDENS ,33,7/10/2020,6.82,465,680,14667,10029,1095,15
392,FLAT 4 7/F WING HING HOUSE (BLOCK J) SUI WO COURT ,40,7/10/2020,4.3,411,468,10462,9188,-,
393,FLAT D 19/F JUNIPER COURT (TOWER 3) PHASE 3 PICTORIAL GARDEN,27,7/10/2020,8.5,795,1102,10692,7713,4260,124
394,FLAT A 12/F LAI SHING GARDEN  ,34,7/10/2020,7,441,620,15873,11290,5298,265
395,FLAT 3 10/F BLOCK B GARDEN RIVERA ,36,7/10/2020,4,242,368,16529,10870,2192,25
396,FLAT A 28/F BLOCK 26 SITE 6 CITY ONE SHATIN,34,7/10/2020,7.1,447,562,15884,12633,2575,78
397,FLAT D 1/F BLOCK 2 CASTELLO ,21,7/10/2020,7.29,547,718,13324,10150,6293,321
398,FLAT 3 28/F BLOCK A HILTON PLAZA ,35,7/10/2020,6.58,427,659,15410,9985,6415,509
399,FLAT C 11/F BELLEVE COURT (BLOCK 2) PHASE 1 PICTORIAL GARDEN,29,7/10/2020,7.8,764,1113,10209,7008,-,
400,FLAT 4 17/F YU YEUNG HOUSE (BLOCK G) YU CHUI COURT ,19,6/10/2020,5.5,510,673,10784,8172,-,
401,FLAT E 16/F BLOCK 3 PRIMA VILLA ,19,6/10/2020,7.3,396,529,18434,13800,3046,89
402,FLAT D 12/F BLOCK 8 CASTELLO ,21,6/10/2020,8.48,547,718,15503,11811,3287,91
403,FLAT B 17/F HILLVIEW COURT (TOWER 1) PHASE 3 PICTORIAL GARDEN,27,6/10/2020,8.99,702,978,12803,9190,3737,116
404,FLAT H 3/F CAPILANO COURT (BLOCK 3) PHASE 1 PICTORIAL GARDEN,29,6/10/2020,7.65,662,968,11556,7903,3524,99
405,FLAT B 7/F GALAXY COURT (BLOCK A) PHASE 2 PICTORIAL GARDEN,27,6/10/2020,7.68,657,941,11689,8162,1914,28
406,FLAT A 18/F BLOCK 36 SITE 7 CITY ONE SHATIN,33,6/10/2020,7,478,605,14644,11570,5219,203
407,FLAT A 19/F BLOCK 10 SITE 1 CITY ONE SHATIN,39,6/10/2020,7.08,451,544,15698,13015,3713,142
408,FLAT F 27/F BLOCK 44 SITE 4 CITY ONE SHATIN,35,6/10/2020,5.45,284,395,19190,13797,3028,118
409,FLAT 1 2/F BLOCK B GREEN LEAVES GARDEN ,33,6/10/2020,4.89,305,384,16033,12734,1643,63
410,FLAT 12 7/F WING CHEUNG HOUSE (BLOCK H) SUI WO COURT ,40,6/10/2020,4,457,519,8753,7707,-,
411,FLAT 5 3/F WING CHEUNG HOUSE (BLOCK H) SUI WO COURT ,40,5/10/2020,5.8,617,702,9400,8262,-,
412,FLAT F 24/F BLOCK 4 WAI WAH CENTRE ,34,5/10/2020,6.25,358,483,17458,12940,-,
