,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
52,FLAT C 6/F BLOCK II OXFORD COURT ,44,10/9/2020,12.7,728,912,17445,13925,4249,119
53,FLAT 1 12/F BLOCK C FLORA GARDEN ,41,10/9/2020,15.58,837,964,18614,16162,6073,361
54,FLAT 2 16/F BLOCK C FLORA GARDEN ,41,9/9/2020,14.8,837,964,17682,15353,2976,43
55,FLAT 3 9/F BLOCK B FLORA GARDEN ,41,25/8/2020,12.68,681,786,18620,16132,1345,18
56,FLAT C 6/F BLOCK 3 BEVERLEY HEIGHTS ,41,13/8/2020,12.75,723,878,17635,14522,4621,141
57,FLAT B 6/F BLOCK 10 BRAEMAR HILL MANSIONS ,42,7/8/2020,37.5,1467,1640,25562,22866,-,
58,FLAT B 19/F BLOCK 7 BRAEMAR HILL MANSIONS ,42,5/8/2020,31.2,1124,1260,27758,24762,4999,204
59,FLAT F 19/F SKY SCRAPER  ,56,4/8/2020,43,1806,2200,23810,19545,3646,91
60,FLAT F 30/F BLOCK E-H EVELYN TOWERS  (with roof),45,31/7/2020,31.3,1065,1198,29390,26127,1169,18
61,FLAT B 11/F HILLTOP MANSION  ,55,29/7/2020,26.2,1324,1680,19789,15595,-,
62,FLAT D 3/F BLOCK B TEMPO COURT ,49,29/7/2020,23,1141,1280,20158,17969,4004,95
63,FLAT 2 11/F BLOCK B2 SUMMIT COURT ,54,27/7/2020,38,1650,1850,23030,20541,-,
64,NO. 44 1/F 42-60 TIN HAU TEMPLE ROAD  ,64,27/7/2020,14.88,1061,1350,14025,11022,-,
65,BLOCK A2 16/F BLOCK A1 - A2 CORAL COURT ,48,27/7/2020,24.8,1173,1382,21142,17945,2771,28
66,BLOCK A2 9/F BLOCK A1 - A2 CORAL COURT ,48,27/7/2020,24.6,1173,1382,20972,17800,-,
67,FLAT 3 17/F BLOCK A DRAGON COURT ,40,24/7/2020,14.8,857,962,17270,15385,-,
68,FLAT B 32/F DRAGON PRIDE  ,20,24/7/2020,22.5,876,1219,25685,18458,2972,43
69,BLOCK D 2/F BLOCK A-D BRAEMAR TERRACE ,46,23/7/2020,10.35,728,850,14217,12176,4956,172
70,BLOCK A2 13/F BLOCK A1 - A2 CORAL COURT ,48,23/7/2020,24,1173,1382,20460,17366,4438,102
